ATHX,"Athersys, Inc.",2.3,192556354.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/athx
ATLC,Atlanticus Holdings Corporation,3.1501,48395175.31,n/a,1995,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atlc
ATLO,Ames National Corporation,24.14,224765439.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
ATNI,"Atlantic Tele-Network, Inc.",74.39,1195900633,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/atni
ATNY,API Technologies Corp.,1.98,110584584,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/atny
ATOS,Atossa Genetics Inc.,0.285,8677184.1,n/a,2012,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atos
ATRC,"AtriCure, Inc.",16.22,523462350.6,n/a,2005,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrc
ATRI,ATRION Corporation,396.9,723792396.6,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atri
ATRO,Astronics Corporation,38.12,975889840.2,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/atro
ATRS,"Antares Pharma, Inc.",0.9,139363660.8,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs
ATSG,"Air Transport Services Group, Inc",14.9,951945802,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg
ATTU,Attunity Ltd.,6.89,113039014.3,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/attu
ATVI,"Activision Blizzard, Inc",34,24989935910,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
AUBN,"Auburn National Bancorporation, Inc.",27.13,98847558.14,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/aubn
